Player_ID,Name,Base Price,Role_Auction,Price_Cr,Cost IN $ (000),Team,Role_Stats,ValueinCR,National Side,MatchPlayed,InningsBatted,NotOuts,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Cost_per_Run,Cost_per_Wicket,ROI,Price_z
189,shubham garhwal,20 Lakh,ALL-ROUNDER,0.2,26.0,Rajasthan Royals,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
190,kane williamson,Retained,BATTER,14.0,1820.0,Sunrisers Hyderabad,Batsman,14.0,New Zealand,63,62,15,1885,0,17,165,56,40.1,131.26,29,0,1,2,3.0,0,31,1,0,0,0.0,10.33,0.0,2,0.01,14.0,69.11,2.3078623407244314
191,nicholas pooran,1.5 Cr,WICKETKEEPER,10.75,1397.5,Sunrisers Hyderabad,Wicket-Keeper,10.75,West Indies,33,31,4,606,0,2,35,44,22.44,154.98,11,0,5,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.02,10.75,28.19,1.5653204775148324
192,washington sundar,1.5 Cr,ALL-ROUNDER,8.75,1137.5,Sunrisers Hyderabad,All-Rounder,8.75,India,42,26,10,217,0,0,17,6,13.56,111.28,9,0,4,41,125.0,1,867,27,2,0,32.11,6.93,27.77,41,0.04,0.32,89.54,1.1083716386166176
193,rahul tripathi,40 Lakh,BATTER,8.5,1105.0,Sunrisers Hyderabad,Batsman,8.5,India,62,60,7,1385,0,7,136,48,26.13,136.31,23,0,1,1,1.0,0,12,1,0,0,0.0,12.0,0.0,1,0.01,8.5,84.41,1.0512530337543406
194,romario shepherd,75 Lakh,ALL-ROUNDER,7.75,1007.5,Sunrisers Hyderabad,All-Rounder,7.75,West Indies,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,7.75,7.75,0.0,0.8798972191675102
195,abhishek sharma,20 Lakh,ALL-ROUNDER,6.5,845.0,Sunrisers Hyderabad,All-Rounder,6.5,India,22,20,6,241,0,0,17,12,17.21,139.3,5,0,0,14,22.0,0,176,7,0,0,25.14,8.0,18.85,14,0.03,0.93,45.46,0.594304194856126
196,marco jansen,50 Lakh,ALL-ROUNDER,4.2,546.0,Sunrisers Hyderabad,All-Rounder,4.2,South Africa,2,2,0,1,0,0,0,0,0.0,0.0,1,0,2,2,6.0,0,45,2,0,0,22.5,7.5,18.0,2,4.2,2.1,12.02,0.06881303012317899
197,bhuvneshwar kumar,2 Cr,BOWLER,4.2,546.0,Sunrisers Hyderabad,Bowler,4.2,India,132,51,25,217,0,0,20,3,8.34,96.87,27,0,9,132,491.3,9,3588,142,9,1,25.26,7.3,20.76,132,0.02,0.03,871.07,0.06881303012317899
198,abdul samad,Retained,ALL-ROUNDER,4.0,520.0,Sunrisers Hyderabad,Batsman,4.0,India,23,18,4,222,0,0,12,14,15.85,146.05,13,0,2,4,8.0,0,105,2,0,0,52.5,13.12,24.0,4,0.02,2.0,40.25,0.02311814623335748
199,umran malik,Retained,BOWLER,4.0,520.0,Sunrisers Hyderabad,Bowler,4.0,India,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,3,12.0,0,96,2,0,0,48.0,8.0,36.0,3,4.0,2.0,12.5,0.02311814623335748
200,kartik tyagi,20 Lakh,BOWLER,4.0,520.0,Sunrisers Hyderabad,Bowler,4.0,India,14,5,3,6,0,0,0,0,3.0,60.0,3,0,1,14,52.1,0,491,13,0,0,37.76,9.41,24.07,14,0.67,0.31,82.0,0.02311814623335748
201,aiden markram,1 Cr,BATTER,2.6,338.0,Sunrisers Hyderabad,Batsman,2.6,South Africa,6,6,1,146,0,0,12,4,29.2,122.68,3,0,0,2,4.0,0,23,1,0,0,0.0,5.75,0.0,2,0.02,2.6,37.69,-0.29674604099539287
202,sean abbott,75 Lakh,BOWLER,2.4,312.0,Sunrisers Hyderabad,Bowler,2.4,Australia,2,2,0,15,0,0,1,1,7.5,115.38,0,0,0,2,5.0,0,57,1,0,0,0.0,11.4,0.0,2,0.16,2.4,13.54,-0.3424409248852144
203,glenn phillips,1.5 Cr,WICKETKEEPER,1.5,195.0,Sunrisers Hyderabad,Wicket-Keeper,1.5,New Zealand,3,3,1,26,0,0,1,2,13.0,78.78,1,0,0,2,2.0,0,20,1,0,0,20.0,10.0,12.0,2,0.06,1.5,25.33,-0.548067902389411
204,shreyas gopal,20 Lakh,BOWLER,0.75,97.5,Sunrisers Hyderabad,Bowler,0.75,India,48,21,7,171,0,0,17,2,12.21,105.55,11,0,4,47,155.1,1,1247,48,4,0,25.97,8.03,19.39,47,0.0,0.02,1714.0,-0.7194237169762416
205,vishnu vinod,20 Lakh,WICKETKEEPER,0.5,65.0,Sunrisers Hyderabad,Wicket-Keeper,0.5,India,3,3,0,19,0,0,1,1,6.33,73.07,0,2,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.03,0.5,19.0,-0.7765423218385185
206,fazalhaq farooqi,50 Lakh,BOWLER,0.5,65.0,Sunrisers Hyderabad,Bowler,0.5,Afghanistan,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.5,0.0,-0.7765423218385185
207,priyam garg,20 Lakh,BATTER,0.2,26.0,Sunrisers Hyderabad,Batsman,0.2,India,19,15,1,205,0,1,11,7,14.64,110.81,6,0,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.2,512.5,-0.8450846476732506
208,jagadeesha suchith,20 Lakh,BOWLER,0.2,26.0,Sunrisers Hyderabad,Bowler,0.2,India,17,8,6,68,0,0,6,3,34.0,128.3,9,0,2,16,52.0,0,462,12,0,0,38.5,8.88,26.0,16,0.0,0.02,1670.0,-0.8450846476732506
209,shashank singh,20 Lakh,ALL-ROUNDER,0.2,26.0,Sunrisers Hyderabad,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
210,saurabh dubey,20 Lakh,BOWLER,0.2,26.0,Sunrisers Hyderabad,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
211,lalit yadav,20 Lakh,BOWLER,0.0,0.0,Unsold,All-Rounder,0.65,India,7,5,3,68,0,0,7,0,34.0,93.15,5,0,1,5,14.0,0,101,4,0,0,25.25,7.21,21.0,5,0.0,0.0,inf,-0.8907795315630721
